Region code,Region,Year,Gross enrollement ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
740,Suriname,2015,120.67029999999998,121.5981,89.6899,68.09750000000001,0,0,71.921,54.721000000000004,0
740,Suriname,2017,115.763,115.93460000000002,0,0,0,0,68.612,0,0
748,Eswatini,2005,106.23400000000001,99.1424,47.4559,46.9185,4.8687,4.6062,221.596,70.96400000000001,5.896999999999999
748,Eswatini,2006,111.24470000000001,103.2863,51.310399999999994,50.5067,4.3936,4.5018,229.686,76.979,5.691999999999999
748,Eswatini,2010,118.23400000000001,107.8532,57.7112,58.1858,0,0,241.237,88.619,0
748,Eswatini,2013,114.9565,104.75450000000001,61.32,62.8781,5.495,5.2665,239.01899999999998,93.46100000000001,8.057
748,Eswatini,2014,113.9713,104.14120000000001,64.31960000000001,65.2029,0,0,240.437,97.229,0
748,Eswatini,2015,112.76190000000001,102.93390000000001,66.8306,67.2547,0,0,241.404,100.49400000000001,0
748,Eswatini,2016,109.5308,100.44710000000002,71.7024,72.8869,0,0,239.02800000000002,108.288,0
752,Sweden,2005,95.9453,95.6575,103.82,104.28710000000001,99.93790000000001,64.76160000000002,658.4609999999999,735.494,426.72299999999996
752,Sweden,2010,101.6941,101.163,97.5967,98.6128,89.5771,58.4789,576.11,731.2730000000001,455.025
752,Sweden,2014,117.66869999999999,124.2278,141.6367,124.7825,75.74060000000001,49.270500000000006,757.164,826.6940000000001,429.444
752,Sweden,2015,120.49340000000001,125.51720000000002,149.9711,131.51399999999998,75.63069999999999,49.5877,791.893,844.112,428.557
752,Sweden,2016,123.2852,126.5019,153.2816,137.07969999999997,77.5019,50.3083,826.6850000000001,856.094,426.188
756,Switzerland,2005,102.10249999999999,101.7907,92.1019,97.9231,42.377199999999995,48.9024,524.222,574.7830000000001,199.696
756,Switzerland,2010,102.795,102.324,94.3049,97.17069999999998,52.4752,53.0196,492.508,605.1840000000001,248.63899999999998
756,Switzerland,2013,103.44420000000002,103.2458,97.3242,99.77029999999999,56.4192,55.7394,483.707,617,279.832
756,Switzerland,2014,103.2048,103.28020000000001,0,0,57.5206,56.5647,483.9,0,289.722
756,Switzerland,2015,104.0898,103.79560000000001,99.35,102.9153,58.3426,56.720600000000005,490.469,614.47,294.45
